dataset,num_cores,n_estimators,max_depth,training_time_s,data_fraction,actual_samples
covtype,1,100,6,15.933115482330322,0.25,145253
covtype,1,100,10,21.273666858673096,0.25,145253
covtype,1,500,6,83.18844389915466,0.25,145253
covtype,1,500,10,105.9321277141571,0.25,145253
covtype,5,100,6,6.868162393569946,0.25,145253
covtype,5,100,10,10.134254693984985,0.25,145253
covtype,5,500,6,35.053470849990845,0.25,145253
covtype,5,500,10,47.6527578830719,0.25,145253
covtype,10,100,6,4.3655102252960205,0.25,145253
covtype,10,100,10,6.555543422698975,0.25,145253
covtype,10,500,6,22.245667934417725,0.25,145253
covtype,10,500,10,31.72501826286316,0.25,145253
covtype,15,100,6,3.4820070266723633,0.25,145253
covtype,15,100,10,5.347213506698608,0.25,145253
covtype,15,500,6,20.66411519050598,0.25,145253
covtype,15,500,10,26.656791925430298,0.25,145253
covtype,20,100,6,3.010627031326294,0.25,145253
covtype,20,100,10,4.72554349899292,0.25,145253
covtype,20,500,6,15.343725204467773,0.25,145253
covtype,20,500,10,22.680174350738525,0.25,145253
covtype,1,100,6,32.78656458854675,0.5,290506
covtype,1,100,10,42.36217164993286,0.5,290506
covtype,1,500,6,160.82837510108948,0.5,290506
covtype,1,500,10,205.36651945114136,0.5,290506
covtype,5,100,6,9.001272439956665,0.5,290506
covtype,5,100,10,12.31412959098816,0.5,290506
covtype,5,500,6,70.19952511787415,0.5,290506
covtype,5,500,10,91.46891689300537,0.5,290506
covtype,10,100,6,10.956133365631104,0.5,290506
covtype,10,100,10,11.194919109344482,0.5,290506
covtype,10,500,6,40.1314218044281,0.5,290506
covtype,10,500,10,56.1316351890564,0.5,290506
covtype,15,100,6,5.924321889877319,0.5,290506
covtype,15,100,10,8.833829402923584,0.5,290506
covtype,15,500,6,30.12936305999756,0.5,290506
covtype,15,500,10,47.295138359069824,0.5,290506
covtype,20,100,6,5.068538188934326,0.5,290506
covtype,20,100,10,7.618249893188477,0.5,290506
covtype,20,500,6,27.708109378814697,0.5,290506
covtype,20,500,10,38.00039052963257,0.5,290506
covtype,1,100,6,74.18087410926819,1.0,581012
covtype,1,100,10,76.32203149795532,1.0,581012
covtype,1,500,6,301.3583278656006,1.0,581012
covtype,1,500,10,393.51265931129456,1.0,581012
covtype,5,100,6,15.8912034034729,1.0,581012
covtype,5,100,10,21.939692974090576,1.0,581012
covtype,5,500,6,118.7211525440216,1.0,581012
