dataset,num_gpus,num_boost_round,max_depth,training_time_s,data_fraction,actual_samples,gpu_0_max_util_%,gpu_0_max_mem_mib,gpu_1_max_util_%,gpu_1_max_mem_mib
covtype,1,500,6,9.78716778755188,0.25,145253,66,1167,,
covtype,1,500,10,16.129740476608276,0.25,145253,76,1169,,
covtype,1,1000,6,16.04479479789734,0.25,145253,68,1167,,
covtype,1,1000,10,26.358869552612305,0.25,145253,77,1169,,
covtype,2,500,6,119.77715587615967,0.25,145253,17,841,41.0,543.0
covtype,2,500,10,191.16789603233337,0.25,145253,37,853,33.0,541.0
covtype,2,1000,6,236.19394993782043,0.25,145253,32,849,18.0,535.0
covtype,2,1000,10,366.3369038105011,0.25,145253,56,853,37.0,541.0
covtype,1,500,6,12.562258958816528,0.5,290506,63,1199,,
covtype,1,500,10,21.922932147979736,0.5,290506,76,1201,,
covtype,1,1000,6,23.912698984146118,0.5,290506,64,1199,,
covtype,1,1000,10,37.66766810417175,0.5,290506,78,1201,,
covtype,2,500,6,120.68933391571045,0.5,290506,43,863,21.0,547.0
covtype,2,500,10,197.6698706150055,0.5,290506,66,867,41.0,551.0
covtype,2,1000,6,238.61539006233215,0.5,290506,40,863,36.0,547.0
covtype,2,1000,10,378.97827792167664,0.5,290506,54,857,62.0,561.0
covtype,1,500,6,17.283872604370117,1.0,581012,67,1253,,
covtype,1,500,10,30.194684267044067,1.0,581012,75,1257,,
covtype,1,1000,6,31.519937753677368,1.0,581012,66,1253,,
covtype,1,1000,10,52.049222230911255,1.0,581012,77,1257,,
covtype,2,500,6,119.5480260848999,1.0,581012,85,1031,22.0,557.0
covtype,2,500,10,200.92356944084167,1.0,581012,90,907,37.0,561.0
covtype,2,1000,6,236.76226258277893,1.0,581012,23,863,84.0,597.0
covtype,2,1000,10,389.2588851451874,1.0,581012,91,907,54.0,561.0
microsoft,1,500,6,10.866227626800537,0.25,180853,68,1187,,
microsoft,1,500,10,25.831619262695312,0.25,180853,84,1673,,
microsoft,1,1000,6,19.072843551635742,0.25,180853,68,1187,,
microsoft,1,1000,10,45.189738035202026,0.25,180853,82,1673,,
microsoft,2,500,6,86.58944010734558,0.25,180853,29,847,81.0,557.0
microsoft,2,500,10,151.1133828163147,0.25,180853,91,1351,41.0,1027.0
microsoft,2,1000,6,170.15767192840576,0.25,180853,78,863,23.0,541.0
microsoft,2,1000,10,290.9043803215027,0.25,180853,91,1351,45.0,1027.0
microsoft,1,500,6,15.553362369537354,0.5,361706,63,1229,,
microsoft,1,500,10,34.224453926086426,0.5,361706,83,1717,,
microsoft,1,1000,6,28.80572748184204,0.5,361706,64,1229,,
microsoft,1,1000,10,62.711395502090454,0.5,361706,85,1717,,
microsoft,2,500,6,87.22939968109131,0.5,361706,84,891,31.0,555.0
microsoft,2,500,10,156.1050238609314,0.5,361706,91,1373,68.0,1049.0
microsoft,2,1000,6,174.61110734939575,0.5,361706,66,885,38.0,561.0
microsoft,2,1000,10,305.67085242271423,0.5,361706,94,1373,56.0,1049.0
microsoft,1,500,6,21.98484516143799,1.0,723412,81,1311,,
microsoft,1,500,10,46.341729402542114,1.0,723412,83,1799,,
microsoft,1,1000,6,39.37263107299805,1.0,723412,74,1579,,
microsoft,1,1000,10,84.99238562583923,1.0,723412,84,1799,,
microsoft,2,500,6,92.62772727012634,1.0,723412,81,933,30.0,597.0
microsoft,2,500,10,164.58981227874756,1.0,723412,66,1389,91.0,1115.0
microsoft,2,1000,6,180.58586764335632,1.0,723412,80,933,42.0,597.0
microsoft,2,1000,10,322.6241567134857,1.0,723412,64,1391,92.0,1115.0
susy,1,500,6,3.989396810531616,0.25,1249999,71,1215,,
susy,1,500,10,8.752777814865112,0.25,1249999,82,1317,,
susy,1,1000,6,6.084912300109863,0.25,1249999,70,1215,,
susy,1,1000,10,15.564007759094238,0.25,1249999,84,1317,,
susy,2,500,6,20.295483350753784,0.25,1249999,20,857,31.0,571.0
susy,2,500,10,34.624770641326904,0.25,1249999,52,971,45.0,665.0
susy,2,1000,6,37.87859845161438,0.25,1249999,32,875,22.0,587.0
susy,2,1000,10,67.12335157394409,0.25,1249999,63,975,46.0,667.0
susy,1,500,6,5.66703462600708,0.5,2500000,80,1277,,
susy,1,500,10,10.273470401763916,0.5,2500000,87,1385,,
susy,1,1000,6,8.172717094421387,0.5,2500000,81,1287,,
susy,1,1000,10,18.802167177200317,0.5,2500000,88,1385,,
susy,2,500,6,21.431947469711304,0.5,2500000,37,903,46.0,597.0
susy,2,500,10,35.92692470550537,0.5,2500000,75,1011,45.0,691.0
susy,2,1000,6,38.09722280502319,0.5,2500000,86,931,29.0,569.0
susy,2,1000,10,67.68911862373352,0.5,2500000,71,983,91.0,727.0
susy,1,500,6,8.503594636917114,1.0,5000000,87,1429,,
susy,1,500,10,14.736899375915527,1.0,5000000,92,1883,,
susy,1,1000,6,12.996779203414917,1.0,5000000,87,1883,,
susy,1,1000,10,26.09720015525818,1.0,5000000,92,1527,,
susy,2,500,6,22.36272144317627,1.0,5000000,81,1067,34.0,567.0
susy,2,500,10,37.234540939331055,1.0,5000000,92,1293,47.0,791.0
susy,2,1000,6,42.51024389266968,1.0,5000000,41,975,39.0,669.0
susy,2,1000,10,68.37745308876038,1.0,5000000,48,951,92.0,901.0
taxis_usa,1,500,6,5.741040945053101,0.25,3187245,80,1317,,
taxis_usa,1,500,10,9.555732727050781,0.25,3187245,87,1319,,
taxis_usa,1,1000,6,8.278811693191528,0.25,3187245,80,1331,,
taxis_usa,1,1000,10,17.791446924209595,0.25,3187245,87,1583,,
taxis_usa,2,500,6,21.306111574172974,0.25,3187245,78,971,19.0,575.0
taxis_usa,2,500,10,35.60212421417236,0.25,3187245,45,913,56.0,621.0
taxis_usa,2,1000,6,39.45102262496948,0.25,3187245,21,919,37.0,629.0
taxis_usa,2,1000,10,65.90957355499268,0.25,3187245,39,929,85.0,833.0
taxis_usa,1,500,6,9.434275388717651,0.5,6374493,88,1503,,
taxis_usa,1,500,10,14.80953073501587,0.5,6374493,90,2195,,
taxis_usa,1,1000,6,13.881615161895752,0.5,6374493,87,1503,,
taxis_usa,1,1000,10,25.02414298057556,0.5,6374493,93,1479,,
taxis_usa,2,500,6,22.827192783355713,0.5,6374493,78,1105,31.0,597.0
taxis_usa,2,500,10,37.85142207145691,0.5,6374493,86,1043,61.0,659.0
taxis_usa,2,1000,6,42.70080375671387,0.5,6374493,35,953,73.0,753.0
taxis_usa,2,1000,10,71.49895668029785,0.5,6374493,47,1041,73.0,751.0
taxis_usa,1,500,6,16.665992736816406,1.0,12748986,93,1797,,
taxis_usa,1,500,10,22.866647243499756,1.0,12748986,93,3269,,
taxis_usa,1,1000,6,24.025775909423828,1.0,12748986,93,1847,,
taxis_usa,1,1000,10,35.15885066986084,1.0,12748986,99,3269,,
taxis_usa,2,500,6,29.38007426261902,1.0,12748986,65,1783,38.0,1357.0
taxis_usa,2,500,10,42.98559045791626,1.0,12748986,88,1911,66.0,1233.0
taxis_usa,2,1000,6,49.12352514266968,1.0,12748986,80,1191,41.0,835.0
taxis_usa,2,1000,10,76.02337050437927,1.0,12748986,83,3139,68.0,805.0
yearprediction,1,500,6,3.1359708309173584,0.25,128837,71,1159,,
yearprediction,1,500,10,9.607138633728027,0.25,128837,89,1647,,
yearprediction,1,1000,6,4.759701728820801,0.25,128837,71,1159,,
yearprediction,1,1000,10,16.897035121917725,0.25,128837,88,1647,,
yearprediction,2,500,6,19.692545890808105,0.25,128837,31,841,29.0,533.0
yearprediction,2,500,10,36.590142011642456,0.25,128837,64,1327,54.0,1021.0
yearprediction,2,1000,6,36.49641013145447,0.25,128837,37,839,35.0,535.0
yearprediction,2,1000,10,69.28404831886292,0.25,128837,56,1327,81.0,1023.0
yearprediction,1,500,6,4.044549942016602,0.5,257673,74,1177,,
yearprediction,1,500,10,11.456501960754395,0.5,257673,89,1665,,
yearprediction,1,1000,6,6.12458062171936,0.5,257673,67,1467,,
yearprediction,1,1000,10,20.86659836769104,0.5,257673,89,2177,,
yearprediction,2,500,6,19.635650396347046,0.5,257673,33,851,25.0,539.0
yearprediction,2,500,10,37.399818658828735,0.5,257673,42,1333,90.0,1033.0
yearprediction,2,1000,6,37.117064237594604,0.5,257673,34,845,36.0,545.0
