dataset,num_gpus,num_boost_round,max_depth,training_time_s,data_fraction,actual_samples,gpu_0_max_util_%,gpu_0_max_mem_mib,gpu_1_max_util_%,gpu_1_max_mem_mib
taxis_usa,2,500,6,21.175920724868774,0.25,3187245,77,927,23.0,533.0
taxis_usa,2,500,10,35.04381990432739,0.25,3187245,88,929,61.0,543.0
taxis_usa,2,1000,6,38.8316752910614,0.25,3187245,28,845,79.0,629.0
taxis_usa,2,1000,10,66.85851693153381,0.25,3187245,91,957,53.0,571.0
taxis_usa,1,500,6,9.489199161529541,0.5,6374493,87,2867,,
taxis_usa,1,500,10,14.697234392166138,0.5,6374493,90,2039,,
taxis_usa,1,1000,6,14.128159761428833,0.5,6374493,87,1477,,
taxis_usa,1,1000,10,25.65524387359619,0.5,6374493,89,1505,,
taxis_usa,2,500,6,23.387190341949463,0.5,6374493,73,1043,30.0,593.0
taxis_usa,2,500,10,37.22643804550171,0.5,6374493,42,939,82.0,701.0
taxis_usa,2,1000,6,42.14601016044617,0.5,6374493,32,927,76.0,725.0
taxis_usa,2,1000,10,70.52285647392273,0.5,6374493,88,1083,68.0,653.0
taxis_usa,1,500,6,16.536335945129395,1.0,12748986,93,2961,,
taxis_usa,1,500,10,23.289326190948486,1.0,12748986,94,1831,,
taxis_usa,1,1000,6,24.251144409179688,1.0,12748986,92,1847,,
taxis_usa,1,1000,10,35.64031195640564,1.0,12748986,93,3269,,
taxis_usa,2,500,6,28.94076919555664,1.0,12748986,74,1291,54.0,681.0
taxis_usa,2,500,10,42.91736555099487,1.0,12748986,77,2119,72.0,951.0
taxis_usa,2,1000,6,46.098151445388794,1.0,12748986,66,1379,38.0,631.0
taxis_usa,2,1000,10,76.2184956073761,1.0,12748986,62,1021,74.0,1813.0
yearprediction,1,500,6,3.1608757972717285,0.25,128837,67,1159,,
yearprediction,1,500,10,10.043568134307861,0.25,128837,88,1647,,
yearprediction,1,1000,6,4.725630521774292,0.25,128837,71,1159,,
yearprediction,1,1000,10,16.900725841522217,0.25,128837,87,1647,,
yearprediction,2,500,6,19.335624933242798,0.25,128837,17,803,32.0,499.0
yearprediction,2,500,10,36.48397493362427,0.25,128837,70,1293,67.0,985.0
yearprediction,2,1000,6,36.504772663116455,0.25,128837,24,803,41.0,499.0
yearprediction,2,1000,10,65.75071477890015,0.25,128837,81,1291,66.0,985.0
yearprediction,1,500,6,4.02604341506958,0.5,257673,67,1177,,
yearprediction,1,500,10,11.468608617782593,0.5,257673,89,1665,,
yearprediction,1,1000,6,5.512200593948364,0.5,257673,77,1177,,
yearprediction,1,1000,10,20.876051902770996,0.5,257673,87,2177,,
yearprediction,2,500,6,19.74261784553528,0.5,257673,25,807,57.0,511.0
yearprediction,2,500,10,37.21979546546936,0.5,257673,79,1299,83.0,993.0
yearprediction,2,1000,6,36.84250736236572,0.5,257673,55,817,33.0,501.0
yearprediction,2,1000,10,72.57226014137268,0.5,257673,75,1809,89.0,1509.0
yearprediction,1,500,6,5.889747381210327,1.0,515345,61,1209,,
yearprediction,1,500,10,13.721135139465332,1.0,515345,87,2209,,
yearprediction,1,1000,6,8.856593608856201,1.0,515345,63,1207,,
yearprediction,1,1000,10,25.165487051010132,1.0,515345,89,2209,,
yearprediction,2,500,6,20.322357654571533,1.0,515345,77,843,26.0,511.0
yearprediction,2,500,10,38.71022009849548,1.0,515345,95,1843,64.0,1511.0
yearprediction,2,1000,6,37.47511076927185,1.0,515345,81,1039,26.0,511.0
yearprediction,2,1000,10,74.91063666343689,1.0,515345,70,1817,95.0,1537.0
